c[?7l[2J[0mSeaBIOS (version 1.13.0-1ubuntu1)


iPXE (http://ipxe.org) 00:03.0 CA00 PCI2.10 PnP PMM+1FF8CA10+1FECCA10 CA00
Press Ctrl-B to configure iPXE (PCI 00:03.0)...                                                                               


Booting from Hard Disk..xv6...
cpu1: starting 1
cpu0: starting 0
sb: size 1000 nblocks 941 ninodes 200 nlog 30 logstart 2 inodestart 32 bmap start 58
init: starting sh
$ bench

GRAPH 3 0 254

GRAPH 3 0 255

GRAPH 3 0 256

GRAPH 4 0 256

GRAPH 5 0 256

GRAPH 3 1 257

GRAPH 4 0 257

GRAPH 5 0 257

GRAPH 6 0 257

GRAPH 7 0 257

GRAPH 3 1 258

GRAPH 4 0 258

GRAPH 5 0 258

GRAPH 6 0 258

GRAPH 7 0 258

GRAPH 3 1 259

GRAPH 4 0 259

GRAPH 5 0 259

GRAPH 6 0 259

GRAPH 7 0 259

GRAPH 3 1 260

GRAPH 4 0 260

GRAPH 5 0 260

GRAPH 6 0 260

GRAPH 7 0 260

GRAPH 3 2 261

GRAPH 4 0 261

GRAPH 5 0 261

GRAPH 6 0 261

GRAPH 7 0 261

GRAPH 3 2 262

GRAPH 4 0 262

GRAPH 5 0 262

GRAPH 6 0 262

GRAPH 7 0 262

GRAPH 3 2 263

GRAPH 4 0 263

GRAPH 5 0 263

GRAPH 6 0 263

GRAPH 7 0 263

GRAPH 3 2 264

GRAPH 4 0 264

GRAPH 5 0 264

GRAPH 6 0 264

GRAPH 7 0 264

GRAPH 3 2 265

GRAPH 4 0 265

GRAPH 5 0 265

GRAPH 6 0 265

GRAPH 7 0 265

GRAPH 3 2 266

GRAPH 4 0 266

GRAPH 5 0 266

GRAPH 6 0 266

GRAPH 7 0 266

GRAPH 3 2 267

GRAPH 4 0 267

GRAPH 5 0 267

GRAPH 6 0 267

GRAPH 7 0 267

GRAPH 3 2 268

GRAPH 4 0 268

GRAPH 5 0 268

GRAPH 6 0 268

GRAPH 7 0 268

GRAPH 3 2 269

GRAPH 4 0 269

